pedido_id,data_emissao,cliente_id,razao_social,vendedor_id,vendedor,regiao,sku,descricao,categoria,fornecedor,quantidade,preco_unit,desconto_pct,valor_total,custo_total,margem_bruta_pct,forma_pagamento,prazo_dias,status
PED-100008,2024-01-01,AUR-0051,Patrícia Almeida Instaladora Ltda,V008,Luana Prado,Sul-MG,INFRA-0031,"Eletroduto Flexível 3/4"" 50m Tigre",Automação e Infra,Tigre,4,119.52,3.19,462.83,313.6,32.24,PIX,15,Faturado
PED-100008,2024-01-01,AUR-0051,Patrícia Almeida Instaladora Ltda,V008,Luana Prado,Sul-MG,CABO-0004,"Cabo PP 3x1,5mm² 100m Cobrecom",Cabos e Fios,Cobrecom,2,195.94,3.64,377.59,285.6,24.36,Boleto,30,Faturado
PED-100008,2024-01-01,AUR-0051,Patrícia Almeida Instaladora Ltda,V008,Luana Prado,Sul-MG,LED-0012,Painel LED 30x60 24W 6500K,Iluminação LED,Importado-CN,20,72.61,1.43,1431.28,1048.0,26.78,PIX,15,Faturado
PED-100009,2024-01-01,AUR-0273,Camila Rodrigues Construções Ltda,V001,Carla Mendes,SP-Capital,QDR-0029,DPS Classe II 275V 20kA Clamper,Quadros e Disjuntores,Clamper,2,45.48,2.62,88.58,56.8,35.88,PIX,15,Faturado
PED-100009,2024-01-01,AUR-0273,Camila Rodrigues Construções Ltda,V001,Carla Mendes,SP-Capital,QDR-0022,Quadro Distribuição 12DIN Steck,Quadros e Disjuntores,Steck,17,130.42,2.8,2154.95,1499.4,30.42,PIX,30,Faturado
PED-100009,2024-01-01,AUR-0273,Camila Rodrigues Construções Ltda,V001,Carla Mendes,SP-Capital,LED-0016,Refletor LED 100W IP65 Avant,Iluminação LED,Avant,16,163.08,2.71,2538.63,1798.4,29.16,Boleto,15,Faturado
PED-100009,2024-01-01,AUR-0273,Camila Rodrigues Construções Ltda,V001,Carla Mendes,SP-Capital,INFRA-0036,Interruptor Simples Tramontina Linha Lux,Automação e Infra,Tramontina,20,15.3,2.57,298.07,196.0,34.24,PIX,30,Faturado
PED-100009,2024-01-01,AUR-0273,Camila Rodrigues Construções Ltda,V001,Carla Mendes,SP-Capital,INFRA-0032,Eletroduto Rígido 25mm 3m Tigre,Automação e Infra,Tigre,6,36.26,1.97,213.28,148.8,30.23,PIX,28,Faturado
PED-100010,2024-01-01,AUR-0027,Marcos Santos Construções Ltda,V005,João Bittencourt,Interior-SP,QDR-0025,Disjuntor Bipolar 40A Curva C Steck,Quadros e Disjuntores,Steck,13,63.63,0.32,824.53,499.2,39.46,Boleto,30,Faturado
PED-100010,2024-01-01,AUR-0027,Marcos Santos Construções Ltda,V005,João Bittencourt,Interior-SP,CABO-0006,Cabo Coaxial RG6 100m Furukawa,Cabos e Fios,Furukawa,4,258.22,0.47,1027.99,712.0,30.74,Boleto,0,Faturado
PED-100011,2024-01-01,AUR-0231,Ricardo Rodrigues Comércio Elétrico Ltda,V005,João Bittencourt,Interior-SP,CABO-0001,"Cabo Flex 2,5mm² 100m Prysmian",Cabos e Fios,Prysmian,1,295.63,3.85,284.24,198.4,30.2,Cartão,28,Faturado
PED-100011,2024-01-01,AUR-0231,Ricardo Rodrigues Comércio Elétrico Ltda,V005,João Bittencourt,Interior-SP,INFRA-0033,Caixa de Passagem 200x200x100 PVC,Automação e Infra,Tramontina,18,73.86,2.69,1293.73,867.6,32.94,Boleto,28,Faturado
PED-100011,2024-01-01,AUR-0231,Ricardo Rodrigues Comércio Elétrico Ltda,V005,João Bittencourt,Interior-SP,CABO-0004,"Cabo PP 3x1,5mm² 100m Cobrecom",Cabos e Fios,Cobrecom,2,216.15,1.33,426.55,285.6,33.04,Cartão,30,Faturado
PED-100012,2024-01-01,AUR-0369,Patrícia Almeida Instaladora Ltda,V002,Marcos Tavares,SP-Capital,CABO-0008,"Fio Sólido 2,5mm² 100m Prysmian",Cabos e Fios,Prysmian,1,214.95,0.89,117.17,78.1,33.35,Boleto,28,Faturado
PED-100012,2024-01-01,AUR-0369,Patrícia Almeida Instaladora Ltda,V002,Marcos Tavares,SP-Capital,LED-0019,Luminária Pendente LED 24W,Iluminação LED,Importado-CN,18,132.37,2.81,1273.69,772.2,39.37,PIX,15,Faturado
PED-100012,2024-01-01,AUR-0369,Patrícia Almeida Instaladora Ltda,V002,Marcos Tavares,SP-Capital,INFRA-0032,Eletroduto Rígido 25mm 3m Tigre,Automação e Infra,Tigre,5,40.05,2.97,106.86,68.2,36.18,Boleto,0,Faturado
PED-100012,2024-01-01,AUR-0369,Patrícia Almeida Instaladora Ltda,V002,Marcos Tavares,SP-Capital,LED-0017,Spot LED 5W Embutir Empalux,Iluminação LED,Empalux,20,13.71,0.48,150.07,94.6,36.96,Boleto,15,Faturado
PED-100013,2024-01-01,AUR-0103,Juliana Santos Comércio Elétrico Ltda,V001,Carla Mendes,SP-Capital,QDR-0027,DR Bipolar 30mA 25A Schneider,Quadros e Disjuntores,Schneider,2,227.86,3.35,440.46,284.4,35.43,Cartão,0,Faturado
PED-100014,2024-01-01,AUR-0253,Roberto Santos Instaladora Ltda,V005,João Bittencourt,Interior-SP,INFRA-0033,Caixa de Passagem 200x200x100 PVC,Automação e Infra,Tramontina,5,81.53,0.02,407.6,241.0,40.87,Cartão,0,Faturado
PED-100014,2024-01-01,AUR-0253,Roberto Santos Instaladora Ltda,V005,João Bittencourt,Interior-SP,INFRA-0036,Interruptor Simples Tramontina Linha Lux,Automação e Infra,Tramontina,14,16.98,1.93,233.12,137.2,41.15,Cartão,15,Faturado
PED-100014,2024-01-01,AUR-0253,Roberto Santos Instaladora Ltda,V005,João Bittencourt,Interior-SP,INFRA-0038,Sensor de Presença Bivolt Intelbras,Automação e Infra,Intelbras,6,125.86,0.51,751.26,468.0,37.7,Boleto,28,Faturado
PED-100015,2024-01-01,AUR-0214,Juliana Santos Engenharia Ltda,V008,Luana Prado,Sul-MG,LED-0016,Refletor LED 100W IP65 Avant,Iluminação LED,Avant,9,164.22,3.37,1428.16,1011.6,29.17,Boleto,60,Faturado
PED-100015,2024-01-01,AUR-0214,Juliana Santos Engenharia Ltda,V008,Luana Prado,Sul-MG,CABO-0009,Cabo de Rede CAT6 305m Furukawa,Cabos e Fios,Furukawa,1,855.84,4.8,814.76,612.0,24.89,PIX,45,Faturado
PED-100015,2024-01-01,AUR-0214,Juliana Santos Engenharia Ltda,V008,Luana Prado,Sul-MG,INFRA-0036,Interruptor Simples Tramontina Linha Lux,Automação e Infra,Tramontina,11,16.71,5.74,173.22,107.8,37.77,PIX,45,Faturado
PED-100015,2024-01-01,AUR-0214,Juliana Santos Engenharia Ltda,V008,Luana Prado,Sul-MG,LED-0013,Lâmpada LED Bulbo 9W E27 Empalux,Iluminação LED,Empalux,7,14.92,3.16,101.12,54.6,46.0,Boleto,45,Faturado
PED-100015,2024-01-01,AUR-0214,Juliana Santos Engenharia Ltda,V008,Luana Prado,Sul-MG,LED-0012,Painel LED 30x60 24W 6500K,Iluminação LED,Importado-CN,17,74.19,4.55,1203.88,890.8,26.01,PIX,30,Faturado
PED-100015,2024-01-01,AUR-0214,Juliana Santos Engenharia Ltda,V008,Luana Prado,Sul-MG,QDR-0023,Disjuntor Monopolar 10A Curva C Steck,Quadros e Disjuntores,Steck,18,18.57,4.28,319.92,201.6,36.98,PIX,60,Faturado
PED-100016,2024-01-02,AUR-0299,Ricardo Fernandes Construções Ltda,V005,João Bittencourt,Interior-SP,QDR-0028,DR Tetrapolar 30mA 40A Schneider,Quadros e Disjuntores,Schneider,1,426.8,2.1,417.83,287.0,31.31,Boleto,30,Faturado
PED-100016,2024-01-02,AUR-0299,Ricardo Fernandes Construções Ltda,V005,João Bittencourt,Interior-SP,CABO-0004,"Cabo PP 3x1,5mm² 100m Cobrecom",Cabos e Fios,Cobrecom,2,200.39,5.14,380.18,285.6,24.88,Boleto,45,Faturado
PED-100016,2024-01-02,AUR-0299,Ricardo Fernandes Construções Ltda,V005,João Bittencourt,Interior-SP,CABO-0010,Cabo Solar 6mm² 100m Solfio,Cabos e Fios,Solfio,1,554.37,3.18,536.74,387.6,27.79,PIX,30,Faturado
PED-100016,2024-01-02,AUR-0299,Ricardo Fernandes Construções Ltda,V005,João Bittencourt,Interior-SP,QDR-0023,Disjuntor Monopolar 10A Curva C Steck,Quadros e Disjuntores,Steck,15,17.64,5.47,250.12,168.0,32.83,PIX,45,Faturado
PED-100016,2024-01-02,AUR-0299,Ricardo Fernandes Construções Ltda,V005,João Bittencourt,Interior-SP,INFRA-0036,Interruptor Simples Tramontina Linha Lux,Automação e Infra,Tramontina,13,15.69,5.14,193.49,127.4,34.16,PIX,45,Faturado
PED-100017,2024-01-02,AUR-0026,Eletrocentral ME,V001,Carla Mendes,SP-Capital,QDR-0021,Quadro Distribuição 24DIN Steck,Quadros e Disjuntores,Steck,18,183.54,2.97,3205.53,2421.0,24.47,PIX,30,Faturado
PED-100017,2024-01-02,AUR-0026,Eletrocentral ME,V001,Carla Mendes,SP-Capital,LED-0015,Refletor LED 50W IP65 Avant,Iluminação LED,Avant,12,99.78,2.19,1171.18,770.4,34.22,Cartão,15,Faturado
PED-100018,2024-01-02,AUR-0105,Juliana Silva Comércio Elétrico Ltda,V002,Marcos Tavares,SP-Capital,CABO-0005,"Cabo PP 3x2,5mm² 100m Cobrecom",Cabos e Fios,Cobrecom,2,332.35,2.94,354.83,240.24,32.29,PIX,30,Faturado
PED-100018,2024-01-02,AUR-0105,Juliana Silva Comércio Elétrico Ltda,V002,Marcos Tavares,SP-Capital,CABO-0003,"Cabo Flex 6,0mm² 100m Prysmian",Cabos e Fios,Prysmian,4,680.87,1.06,1482.09,1074.04,27.53,PIX,28,Faturado
PED-100018,2024-01-02,AUR-0105,Juliana Silva Comércio Elétrico Ltda,V002,Marcos Tavares,SP-Capital,CABO-0001,"Cabo Flex 2,5mm² 100m Prysmian",Cabos e Fios,Prysmian,3,283.4,3.75,450.08,327.36,27.27,PIX,15,Faturado
PED-100019,2024-01-02,AUR-0335,Ricardo Almeida Instaladora Ltda,V002,Marcos Tavares,SP-Capital,INFRA-0040,Switch 8 portas Gigabit Intelbras,Automação e Infra,Intelbras,10,333.5,2.29,1792.22,1199.0,33.1,Boleto,0,Faturado
PED-100019,2024-01-02,AUR-0335,Ricardo Almeida Instaladora Ltda,V002,Marcos Tavares,SP-Capital,QDR-0021,Quadro Distribuição 24DIN Steck,Quadros e Disjuntores,Steck,17,187.82,0.74,1743.22,1257.58,27.86,PIX,15,Faturado
PED-100019,2024-01-02,AUR-0335,Ricardo Almeida Instaladora Ltda,V002,Marcos Tavares,SP-Capital,QDR-0027,DR Bipolar 30mA 25A Schneider,Quadros e Disjuntores,Schneider,18,216.77,0.37,2138.12,1407.78,34.16,PIX,15,Faturado
PED-100019,2024-01-02,AUR-0335,Ricardo Almeida Instaladora Ltda,V002,Marcos Tavares,SP-Capital,QDR-0022,Quadro Distribuição 12DIN Steck,Quadros e Disjuntores,Steck,11,127.63,0.87,765.42,533.61,30.29,Cartão,30,Faturado
PED-100020,2024-01-02,AUR-0365,Patrícia Oliveira Materiais Elétricos Ltda,V006,Eduarda Carvalho,Interior-SP,QDR-0023,Disjuntor Monopolar 10A Curva C Steck,Quadros e Disjuntores,Steck,15,17.98,2.57,262.75,168.0,36.06,Cartão,15,Faturado
PED-100021,2024-01-02,AUR-0181,Camila Fernandes Construções Ltda,V001,Carla Mendes,SP-Capital,CABO-0008,"Fio Sólido 2,5mm² 100m Prysmian",Cabos e Fios,Prysmian,4,201.16,2.9,781.33,568.0,27.3,PIX,28,Faturado
PED-100021,2024-01-02,AUR-0181,Camila Fernandes Construções Ltda,V001,Carla Mendes,SP-Capital,INFRA-0033,Caixa de Passagem 200x200x100 PVC,Automação e Infra,Tramontina,17,76.28,0.18,1294.45,819.4,36.7,Cartão,15,Faturado
PED-100021,2024-01-02,AUR-0181,Camila Fernandes Construções Ltda,V001,Carla Mendes,SP-Capital,QDR-0021,Quadro Distribuição 24DIN Steck,Quadros e Disjuntores,Steck,17,184.28,0.38,3120.73,2286.5,26.73,Cartão,0,Faturado
PED-100021,2024-01-02,AUR-0181,Camila Fernandes Construções Ltda,V001,Carla Mendes,SP-Capital,CABO-0005,"Cabo PP 3x2,5mm² 100m Cobrecom",Cabos e Fios,Cobrecom,2,320.27,3.09,620.72,436.8,29.63,Cartão,30,Faturado
PED-100021,2024-01-02,AUR-0181,Camila Fernandes Construções Ltda,V001,Carla Mendes,SP-Capital,CABO-0007,"Fio Sólido 1,5mm² 100m Prysmian",Cabos e Fios,Prysmian,2,131.56,2.81,255.72,176.4,31.02,Cartão,30,Faturado
PED-100022,2024-01-02,AUR-0039,Eduardo Silva Comércio Elétrico Ltda,V007,Diego Salgueiro,Sul-MG,QDR-0030,Contator Tripolar 25A WEG,Quadros e Disjuntores,WEG,11,248.8,0.29,2728.83,2026.2,25.75,PIX,28,Faturado
PED-100022,2024-01-02,AUR-0039,Eduardo Silva Comércio Elétrico Ltda,V007,Diego Salgueiro,Sul-MG,INFRA-0036,Interruptor Simples Tramontina Linha Lux,Automação e Infra,Tramontina,3,16.41,0.91,48.79,29.4,39.74,Boleto,28,Faturado
PED-100023,2024-01-02,AUR-0355,Juliana Pereira Engenharia Ltda,V004,Roberto Almeida,SP-Capital,CABO-0002,"Cabo Flex 4,0mm² 100m Prysmian",Cabos e Fios,Prysmian,4,462.46,2.14,1810.25,1250.0,30.95,Cartão,0,Faturado
PED-100023,2024-01-02,AUR-0355,Juliana Pereira Engenharia Ltda,V004,Roberto Almeida,SP-Capital,INFRA-0038,Sensor de Presença Bivolt Intelbras,Automação e Infra,Intelbras,2,125.38,0.29,250.03,156.0,37.61,Cartão,0,Faturado
PED-100023,2024-01-02,AUR-0355,Juliana Pereira Engenharia Ltda,V004,Roberto Almeida,SP-Capital,LED-0019,Luminária Pendente LED 24W,Iluminação LED,Importado-CN,10,133.85,1.13,1323.39,780.0,41.06,Boleto,30,Faturado
PED-100024,2024-01-02,AUR-0371,Eduardo Rodrigues Comércio Elétrico Ltda,V007,Diego Salgueiro,Sul-MG,INFRA-0035,Tomada 2P+T 20A Branca Tramontina,Automação e Infra,Tramontina,8,18.66,1.56,146.95,97.6,33.58,Cartão,28,Faturado
PED-100024,2024-01-02,AUR-0371,Eduardo Rodrigues Comércio Elétrico Ltda,V007,Diego Salgueiro,Sul-MG,CABO-0010,Cabo Solar 6mm² 100m Solfio,Cabos e Fios,Solfio,3,553.42,3.66,1599.54,1162.8,27.3,Cartão,28,Faturado
PED-100024,2024-01-02,AUR-0371,Eduardo Rodrigues Comércio Elétrico Ltda,V007,Diego Salgueiro,Sul-MG,CABO-0001,"Cabo Flex 2,5mm² 100m Prysmian",Cabos e Fios,Prysmian,2,270.51,0.02,540.91,396.8,26.64,Cartão,30,Faturado
PED-100025,2024-01-02,AUR-0047,Juliana Almeida Materiais Elétricos Ltda,V005,João Bittencourt,Interior-SP,QDR-0023,Disjuntor Monopolar 10A Curva C Steck,Quadros e Disjuntores,Steck,7,18.4,4.58,122.91,78.4,36.21,PIX,45,Faturado
PED-100025,2024-01-02,AUR-0047,Juliana Almeida Materiais Elétricos Ltda,V005,João Bittencourt,Interior-SP,LED-0011,Painel LED 60x60 48W 6500K,Iluminação LED,Importado-CN,6,113.75,5.34,646.06,523.2,19.02,Boleto,30,Faturado
PED-100026,2024-01-02,AUR-0317,Ricardo Silva Engenharia Ltda,V006,Eduarda Carvalho,Interior-SP,INFRA-0036,Interruptor Simples Tramontina Linha Lux,Automação e Infra,Tramontina,15,16.56,2.29,242.75,147.0,39.44,PIX,30,Faturado
PED-100026,2024-01-02,AUR-0317,Ricardo Silva Engenharia Ltda,V006,Eduarda Carvalho,Interior-SP,LED-0017,Spot LED 5W Embutir Empalux,Iluminação LED,Empalux,4,13.71,4.32,52.48,34.4,34.45,Boleto,45,Faturado
PED-100026,2024-01-02,AUR-0317,Ricardo Silva Engenharia Ltda,V006,Eduarda Carvalho,Interior-SP,CABO-0009,Cabo de Rede CAT6 305m Furukawa,Cabos e Fios,Furukawa,1,820.11,4.48,783.39,612.0,21.88,Boleto,45,Faturado
PED-100026,2024-01-02,AUR-0317,Ricardo Silva Engenharia Ltda,V006,Eduarda Carvalho,Interior-SP,INFRA-0032,Eletroduto Rígido 25mm 3m Tigre,Automação e Infra,Tigre,15,37.54,4.64,537.05,372.0,30.73,PIX,45,Faturado
PED-100027,2024-01-02,AUR-0204,Juliana Pereira Instaladora Ltda,V003,Patricia Yoshida,SP-Capital,LED-0011,Painel LED 60x60 48W 6500K,Iluminação LED,Importado-CN,1,115.19,3.14,111.57,87.2,21.84,Cartão,30,Faturado
PED-100027,2024-01-02,AUR-0204,Juliana Pereira Instaladora Ltda,V003,Patricia Yoshida,SP-Capital,LED-0018,Fita LED 5m IP65 12V Stella,Iluminação LED,Stella,12,60.84,2.93,708.69,458.4,35.32,Boleto,30,Faturado
PED-100027,2024-01-02,AUR-0204,Juliana Pereira Instaladora Ltda,V003,Patricia Yoshida,SP-Capital,QDR-0029,DPS Classe II 275V 20kA Clamper,Quadros e Disjuntores,Clamper,12,50.02,1.95,588.49,340.8,42.09,PIX,15,Faturado
PED-100027,2024-01-02,AUR-0204,Juliana Pereira Instaladora Ltda,V003,Patricia Yoshida,SP-Capital,INFRA-0039,Câmera IP Bullet 2MP Intelbras,Automação e Infra,Intelbras,3,503.39,3.43,1458.31,936.0,35.82,PIX,15,Faturado
PED-100027,2024-01-02,AUR-0204,Juliana Pereira Instaladora Ltda,V003,Patricia Yoshida,SP-Capital,LED-0017,Spot LED 5W Embutir Empalux,Iluminação LED,Empalux,3,14.71,3.57,42.56,25.8,39.38,Cartão,0,Faturado
PED-100027,2024-01-02,AUR-0204,Juliana Pereira Instaladora Ltda,V003,Patricia Yoshida,SP-Capital,INFRA-0038,Sensor de Presença Bivolt Intelbras,Automação e Infra,Intelbras,19,120.61,2.36,2237.52,1482.0,33.77,PIX,28,Faturado
PED-100028,2024-01-02,AUR-0303,Fernando Almeida Instaladora Ltda,V006,Eduarda Carvalho,Interior-SP,CABO-0010,Cabo Solar 6mm² 100m Solfio,Cabos e Fios,Solfio,3,533.09,5.57,1510.27,1162.8,23.01,PIX,45,Cancelado
PED-100028,2024-01-02,AUR-0303,Fernando Almeida Instaladora Ltda,V006,Eduarda Carvalho,Interior-SP,CABO-0009,Cabo de Rede CAT6 305m Furukawa,Cabos e Fios,Furukawa,2,865.94,2.36,1690.98,1224.0,27.62,Boleto,30,Faturado
PED-100028,2024-01-02,AUR-0303,Fernando Almeida Instaladora Ltda,V006,Eduarda Carvalho,Interior-SP,LED-0016,Refletor LED 100W IP65 Avant,Iluminação LED,Avant,20,170.51,5.03,3238.73,2248.0,30.59,Boleto,60,Faturado
PED-100029,2024-01-02,AUR-0316,Fernando Costa Materiais Elétricos Ltda,V003,Patricia Yoshida,SP-Capital,CABO-0010,Cabo Solar 6mm² 100m Solfio,Cabos e Fios,Solfio,4,572.11,2.16,2238.97,1550.4,30.75,Boleto,45,Faturado
PED-100029,2024-01-02,AUR-0316,Fernando Costa Materiais Elétricos Ltda,V003,Patricia Yoshida,SP-Capital,CABO-0005,"Cabo PP 3x2,5mm² 100m Cobrecom",Cabos e Fios,Cobrecom,3,307.83,2.17,903.45,655.2,27.48,Boleto,45,Faturado
PED-100029,2024-01-02,AUR-0316,Fernando Costa Materiais Elétricos Ltda,V003,Patricia Yoshida,SP-Capital,QDR-0025,Disjuntor Bipolar 40A Curva C Steck,Quadros e Disjuntores,Steck,16,64.44,5.53,974.04,614.4,36.92,Boleto,45,Faturado
PED-100030,2024-01-02,AUR-0292,Camila Costa Instaladora Ltda,V001,Carla Mendes,SP-Capital,LED-0017,Spot LED 5W Embutir Empalux,Iluminação LED,Empalux,19,14.37,2.7,265.6,163.4,38.48,PIX,60,Faturado
PED-100030,2024-01-02,AUR-0292,Camila Costa Instaladora Ltda,V001,Carla Mendes,SP-Capital,QDR-0024,Disjuntor Monopolar 25A Curva C Steck,Quadros e Disjuntores,Steck,19,20.0,5.34,359.67,224.2,37.67,PIX,45,Faturado
PED-100030,2024-01-02,AUR-0292,Camila Costa Instaladora Ltda,V001,Carla Mendes,SP-Capital,QDR-0025,Disjuntor Bipolar 40A Curva C Steck,Quadros e Disjuntores,Steck,8,61.2,3.41,472.91,307.2,35.04,Boleto,60,Faturado
PED-100030,2024-01-02,AUR-0292,Camila Costa Instaladora Ltda,V001,Carla Mendes,SP-Capital,INFRA-0031,"Eletroduto Flexível 3/4"" 50m Tigre",Automação e Infra,Tigre,1,117.24,2.56,114.25,78.4,31.38,Boleto,45,Faturado
PED-100031,2024-01-02,AUR-0362,Eduardo Almeida Instaladora Ltda,V003,Patricia Yoshida,SP-Capital,LED-0012,Painel LED 30x60 24W 6500K,Iluminação LED,Importado-CN,6,72.43,2.87,422.14,314.4,25.52,PIX,15,Faturado
